original,ex_predicted
" PM Modi, Big B wish Rajinikanth on his 66th b'day","""It is Rajinikanth's birthday on Dec 12 and we wish him greater glory, happiness and good health,"" Big B tweeted.T 2469 - It is Rajnikant's birthday on Dec 12th and we wish him greater glory happiness and good helath .. pic.twitter.com/hRQRyYZ7Q6Both Rajinikanth and Bachchan have worked together in films such as Hum, Geraftaar and Andhaa Kaanoon.They've remained good friends over the years.ALSO READ: Why Rajinikanth is the last superstar of India ALSO READ: Rajinikanth mourns Jayalalithaa's death, asks fans not to celebrate 66th birthdayRajinikanth, who has starred in hits like Sivaji and Chandramukhi, has requested his fans not to celebrate his birthday as a token of respect for the former Tamil Nadu Chief Minister J Jayalalithaa, who passed away last week.Shah Rukh Khan also wished Thalaivar a happy birthday, with a still from Lungi Dance, SRK's tribute to Thalaivar from Chennai Express:2 the coolest & greatest of em all."
Saina Nehwal to set up badminton academy in Haryana,"Ace women badminton player Saina Nehwal will be provided land by the Haryana government to set up a badminton academy in the state.The land to the international star will be provided by the Haryana State Industrial and Infrastructure Development Corporation Limited (HSIIDC) at Manesar in Gurgaon district, 45 km from New Delhi."
World will be at Kohli's feet in a few years' time: Ganguly,Former India captain Sourav Ganguly on Sunday hailed Virat Kohli's double hundred in the Mumbai Test and said that the future of Indian cricket rests on the shoulders of the Indian Test skipper.
Facebook poaches Google exec as its first Industry Director,He was responsible for driving a large business for Google India.Also Read:  Kirthiga Reddy steps down from Facebook India MD position Facebook has been making several reshuffles and hiring new officials for India this year.
Kejriwal pulls up his health min over ventilators shortage,"New Delhi, Dec 11 (PTI) Following reports about shortage of ventilators in Delhi government-run hospitals, Chief Minister Arvind Kejriwal today pulled up Health Minister Satyendar Jain who in turn sought to shift the blame onto Lt Governor Najeeb Jung, accusing the Health Secretary appointed by him of not reaching the hospital to deal with a case of medical negligence citing unavailability of car."
France to require 'clean stickers' on cars in polluted areas,"on their vehicle from January to combat pollution that has created a cloud of noxious smog in Paris and other cities.The six differently coloured Crit?Air (air criteria) stickers will be large enough for the police to see at a distance and will indicate the age of the vehicle, its engine and cleanliness on a scale of one to six.Although emergency vehicles, vintage cars and certain delivery and security vans will be exempt from the regulation, to take effect from 16 January, stickers will be obligatory for motorbikes and scooters.On weekdays, vehicles without the stickers will be banned from entering designated zones à circulation restreinte (ZCR - low-emission zones), which will be determined by local authorities based on pollution evaluations.Announcing a raft of measures to combat the increasing problem of pollution in France's cities, the ecology minister, Ségolène Royal, said the government was ?taking the problem seriously?."
Cyclone Vardah makes landfall near Chennai,"""The western part of the cyclone Vardah has crossed the coast around 10 km north of Chennai,"" S. Balachandran, Director at the Regional Meteorological Centre.The Chennai airport has suspended all operations till 11 pm today.Tamil Nadu: Army personnel conduct rescue and relief operations in Chennai as heavy rainfall and strong winds lash the city #CycloneVardahpic.twitter.com/nFy5C3SLoy#WATCH: Heavy rains & strong winds hit the city of Chennai."
Cyrus Mistry removed as director of Tata Industries ,"Tata Industries promotes Tata's entry into new businesses and invests in operating companies to facilitate growth.Sources said that the Tata Sons has appealed to the shareholders of the companies under the Tata Group to remove Mistry from the board, saying his presence as a director ""is likely to lead to fragmentation of the Tata Group"".ALSO READ: Ratan Tata does not speak the truth: Cyrus Mistry In the next few weeks, at least six Tata Group companies are expected to hold such meetings to remove Cyrus Mistry from the position of director.Attacks and counter-attacks In October, Mistry was removed as the chairman of Tata Sons, the holding firm of the $100-billion Tata empire, but he remains on the board of several group companies."
Kohli's technical weakness covered by home pitches: Anderson,"(Also read: Ravindra Jadeja becomes third fastest Indian left-arm spinner to 100 Test wickets)""If we're going to keep this series alive, we're going to have to try to get past them and try to put some pressure on in the fourth innings."
29-yr-old first female to join Pak Bomb Disposal Unit,"However, she chose to join police force in Khyber Pakhtunkhwa province when extremists were overtly targeting security forces."
Chelsea top EPL table after posting 9th win on the trot,"1.34pm GMT
13:34

78 min That is cruel on West Brom."
"Tata Director had key role in ?3,600 cr chopper scam: Mistry","In a fresh round of mudslinging between the Tata Sons and Cyrus Mistry, the latter has dragged the conglomerate in the AgustaWestland scam.Cyrus Mistry, who was unceremoniously removed as group's chairman, has claimed that Tata Sons director Vijay Singh played 'a key role' in the AgustaWestland scam.Cyrus Mistry's office said, ""As defence secretary, Vijay Singh was key official involved in award of Rs 3600 crore plus VVIP helicopter contract to AgustaWestland in 2010."
"Pic shows Priyanka, Rani dancing at Farah Khan's sangeet","?A photo posted by @farahkhankunder on Dec 9, 2016 at 11:52pm PSTFarah also shared photos with Hrithik Roshan and Sussanne Khan, Abhishek Bachchan and Shah Rukh Khan and Gauri Khan.#12yrsago completely tipsy by the time @iamsrk n Gauri arrived.. thts my 3 rd std."
Dilip Kumar still in hospital on 94th birthday,Veteran actor Dilip Kumar was the original superstar of Hindi cinema.
Four Punjab AAP leaders quit party to join Congress,"Aam Aadmi Party (AAP) received a jolt today when four of its members including Colonel CM Lakhanpal, the founder member and state vice-president of AAP Punjab, quit party to join the Congress.Lakhanpal who has been responsible for holding all major functions of the party in Punjab, quit just ahead of big ticket assembly polls.Lakhanpal joined Captain Amarinder Singh in bringing in 50,000 people from states like Uttar Pradesh and Bihar for campaigning."
Government to launch helpline number 14444 for e-payments,"New Delhi, Dec 11 (PTI) After a TV channel and a website to promote digital payments, a nationwide toll-free helpline number 14444 will be launched soon to educate people and provide support related to cashless mode of transactions."
